SnapshotDate,ProductID,WarehouseID,StockOnHand
2024-01-01,P0001,W01,66
2024-01-01,P0001,W02,420
2024-01-01,P0001,W03,598
2024-01-01,P0002,W01,229
2024-01-01,P0002,W02,100
2024-01-01,P0002,W03,314
2024-01-01,P0003,W01,239
2024-01-01,P0003,W02,540
2024-01-01,P0003,W03,59
2024-01-01,P0004,W01,517
2024-01-01,P0004,W02,484
2024-01-01,P0004,W03,404
2024-01-01,P0005,W01,296
2024-01-01,P0005,W02,421
2024-01-01,P0005,W03,364
2024-01-01,P0006,W01,587
2024-01-01,P0006,W02,164
2024-01-01,P0006,W03,64
2024-01-01,P0007,W01,127
2024-01-01,P0007,W02,131
2024-01-01,P0007,W03,47
2024-01-01,P0008,W01,392
2024-01-01,P0008,W02,333
2024-01-01,P0008,W03,342
2024-01-01,P0009,W01,249
2024-01-01,P0009,W02,358
2024-01-01,P0009,W03,306
2024-01-01,P0010,W01,517
2024-01-01,P0010,W02,437
2024-01-01,P0010,W03,450
2024-01-01,P0011,W01,366
2024-01-01,P0011,W02,251
2024-01-01,P0011,W03,381
2024-01-01,P0012,W01,141
2024-01-01,P0012,W02,49
2024-01-01,P0012,W03,600
2024-01-01,P0013,W01,437
2024-01-01,P0013,W02,270
2024-01-01,P0013,W03,466
2024-01-01,P0014,W01,403
2024-01-01,P0014,W02,464
2024-01-01,P0014,W03,285
2024-01-01,P0015,W01,346
2024-01-01,P0015,W02,298
2024-01-01,P0015,W03,311
2024-01-01,P0016,W01,234
2024-01-01,P0016,W02,81
2024-01-01,P0016,W03,518
2024-01-01,P0017,W01,74
2024-01-01,P0017,W02,246
2024-01-01,P0017,W03,551
2024-01-01,P0018,W01,233
2024-01-01,P0018,W02,471
2024-01-01,P0018,W03,41
2024-01-01,P0019,W01,593
2024-01-01,P0019,W02,115
2024-01-01,P0019,W03,82
2024-01-01,P0020,W01,106
2024-01-01,P0020,W02,286
2024-01-01,P0020,W03,185
2024-01-01,P0021,W01,526
2024-01-01,P0021,W02,226
2024-01-01,P0021,W03,85
2024-01-01,P0022,W01,502
2024-01-01,P0022,W02,346
2024-01-01,P0022,W03,186
2024-01-01,P0023,W01,227
2024-01-01,P0023,W02,182
2024-01-01,P0023,W03,558
2024-01-01,P0024,W01,581
2024-01-01,P0024,W02,236
2024-01-01,P0024,W03,321
2024-01-01,P0025,W01,209
2024-01-01,P0025,W02,218
2024-01-01,P0025,W03,526
2024-01-01,P0026,W01,568
2024-01-01,P0026,W02,330
2024-01-01,P0026,W03,343
2024-01-01,P0027,W01,212
2024-01-01,P0027,W02,382
2024-01-01,P0027,W03,259
2024-01-01,P0028,W01,154
2024-01-01,P0028,W02,251
2024-01-01,P0028,W03,200
2024-01-01,P0029,W01,365
2024-01-01,P0029,W02,441
2024-01-01,P0029,W03,305
2024-01-01,P0030,W01,61
2024-01-01,P0030,W02,555
2024-01-01,P0030,W03,451
2024-01-01,P0031,W01,464
2024-01-01,P0031,W02,481
2024-01-01,P0031,W03,251
2024-01-01,P0032,W01,502
2024-01-01,P0032,W02,134
2024-01-01,P0032,W03,65
2024-01-01,P0033,W01,541
2024-01-01,P0033,W02,102
2024-01-01,P0033,W03,255
2024-01-01,P0034,W01,176
2024-01-01,P0034,W02,471
2024-01-01,P0034,W03,593
2024-01-01,P0035,W01,135
2024-01-01,P0035,W02,169
2024-01-01,P0035,W03,379
2024-01-01,P0036,W01,417
2024-01-01,P0036,W02,455
2024-01-01,P0036,W03,320
2024-01-01,P0037,W01,186
2024-01-01,P0037,W02,274
2024-01-01,P0037,W03,367
2024-01-01,P0038,W01,576
2024-01-01,P0038,W02,346
2024-01-01,P0038,W03,60
2024-01-01,P0039,W01,578
2024-01-01,P0039,W02,358
2024-01-01,P0039,W03,273
2024-01-01,P0040,W01,388
2024-01-01,P0040,W02,248
2024-01-01,P0040,W03,134
2024-01-01,P0041,W01,287
2024-01-01,P0041,W02,184
2024-01-01,P0041,W03,55
2024-01-01,P0042,W01,307
2024-01-01,P0042,W02,187
2024-01-01,P0042,W03,498
2024-01-01,P0043,W01,390
2024-01-01,P0043,W02,188
2024-01-01,P0043,W03,370
2024-01-01,P0044,W01,550
2024-01-01,P0044,W02,570
2024-01-01,P0044,W03,172
2024-01-01,P0045,W01,400
2024-01-01,P0045,W02,446
2024-01-01,P0045,W03,414
2024-01-01,P0046,W01,573
2024-01-01,P0046,W02,106
2024-01-01,P0046,W03,584
2024-01-01,P0047,W01,55
2024-01-01,P0047,W02,342
2024-01-01,P0047,W03,388
2024-01-01,P0048,W01,406
2024-01-01,P0048,W02,316
2024-01-01,P0048,W03,65
2024-01-01,P0049,W01,522
2024-01-01,P0049,W02,385
2024-01-01,P0049,W03,300
2024-01-01,P0050,W01,415
2024-01-01,P0050,W02,128
2024-01-01,P0050,W03,179
2024-02-01,P0001,W01,62
2024-02-01,P0001,W02,463
2024-02-01,P0001,W03,45
2024-02-01,P0002,W01,413
2024-02-01,P0002,W02,388
2024-02-01,P0002,W03,136
2024-02-01,P0003,W01,366
2024-02-01,P0003,W02,268
2024-02-01,P0003,W03,333
2024-02-01,P0004,W01,116
2024-02-01,P0004,W02,288
2024-02-01,P0004,W03,226
2024-02-01,P0005,W01,500
2024-02-01,P0005,W02,272
2024-02-01,P0005,W03,181
2024-02-01,P0006,W01,321
2024-02-01,P0006,W02,508
2024-02-01,P0006,W03,40
2024-02-01,P0007,W01,126
2024-02-01,P0007,W02,581
2024-02-01,P0007,W03,52
2024-02-01,P0008,W01,59
2024-02-01,P0008,W02,175
2024-02-01,P0008,W03,309
2024-02-01,P0009,W01,487
2024-02-01,P0009,W02,520
2024-02-01,P0009,W03,424
2024-02-01,P0010,W01,419
2024-02-01,P0010,W02,543
2024-02-01,P0010,W03,254
2024-02-01,P0011,W01,78
2024-02-01,P0011,W02,352
2024-02-01,P0011,W03,231
2024-02-01,P0012,W01,152
2024-02-01,P0012,W02,278
2024-02-01,P0012,W03,359
2024-02-01,P0013,W01,534
2024-02-01,P0013,W02,119
2024-02-01,P0013,W03,298
2024-02-01,P0014,W01,102
2024-02-01,P0014,W02,206
2024-02-01,P0014,W03,125
2024-02-01,P0015,W01,509
2024-02-01,P0015,W02,64
2024-02-01,P0015,W03,412
2024-02-01,P0016,W01,380
2024-02-01,P0016,W02,463
2024-02-01,P0016,W03,368
2024-02-01,P0017,W01,558
2024-02-01,P0017,W02,278
2024-02-01,P0017,W03,382
2024-02-01,P0018,W01,344
2024-02-01,P0018,W02,202
2024-02-01,P0018,W03,151
2024-02-01,P0019,W01,577
2024-02-01,P0019,W02,380
2024-02-01,P0019,W03,247
2024-02-01,P0020,W01,68
2024-02-01,P0020,W02,162
2024-02-01,P0020,W03,136
2024-02-01,P0021,W01,161
2024-02-01,P0021,W02,262
2024-02-01,P0021,W03,76
2024-02-01,P0022,W01,371
2024-02-01,P0022,W02,102
2024-02-01,P0022,W03,483
2024-02-01,P0023,W01,287
2024-02-01,P0023,W02,253
2024-02-01,P0023,W03,97
2024-02-01,P0024,W01,416
2024-02-01,P0024,W02,211
2024-02-01,P0024,W03,573
2024-02-01,P0025,W01,320
2024-02-01,P0025,W02,156
2024-02-01,P0025,W03,62
2024-02-01,P0026,W01,346
2024-02-01,P0026,W02,273
2024-02-01,P0026,W03,47
2024-02-01,P0027,W01,104
2024-02-01,P0027,W02,198
2024-02-01,P0027,W03,241
2024-02-01,P0028,W01,468
2024-02-01,P0028,W02,276
2024-02-01,P0028,W03,176
2024-02-01,P0029,W01,302
2024-02-01,P0029,W02,145
2024-02-01,P0029,W03,538
2024-02-01,P0030,W01,210
2024-02-01,P0030,W02,103
2024-02-01,P0030,W03,451
2024-02-01,P0031,W01,156
2024-02-01,P0031,W02,238
2024-02-01,P0031,W03,438
2024-02-01,P0032,W01,425
2024-02-01,P0032,W02,497
2024-02-01,P0032,W03,491
2024-02-01,P0033,W01,433
2024-02-01,P0033,W02,465
2024-02-01,P0033,W03,64
2024-02-01,P0034,W01,557
2024-02-01,P0034,W02,269
2024-02-01,P0034,W03,328
2024-02-01,P0035,W01,526
2024-02-01,P0035,W02,257
2024-02-01,P0035,W03,115
2024-02-01,P0036,W01,111
2024-02-01,P0036,W02,271
2024-02-01,P0036,W03,507
2024-02-01,P0037,W01,456
2024-02-01,P0037,W02,354
2024-02-01,P0037,W03,563
2024-02-01,P0038,W01,589
2024-02-01,P0038,W02,456
2024-02-01,P0038,W03,501
2024-02-01,P0039,W01,275
2024-02-01,P0039,W02,483
2024-02-01,P0039,W03,110
2024-02-01,P0040,W01,573
2024-02-01,P0040,W02,490
2024-02-01,P0040,W03,57
2024-02-01,P0041,W01,595
2024-02-01,P0041,W02,243
2024-02-01,P0041,W03,195
2024-02-01,P0042,W01,552
2024-02-01,P0042,W02,103
2024-02-01,P0042,W03,43
2024-02-01,P0043,W01,142
2024-02-01,P0043,W02,151
2024-02-01,P0043,W03,370
2024-02-01,P0044,W01,63
2024-02-01,P0044,W02,598
2024-02-01,P0044,W03,124
2024-02-01,P0045,W01,273
2024-02-01,P0045,W02,289
2024-02-01,P0045,W03,502
2024-02-01,P0046,W01,341
2024-02-01,P0046,W02,190
2024-02-01,P0046,W03,173
2024-02-01,P0047,W01,585
2024-02-01,P0047,W02,382
2024-02-01,P0047,W03,298
2024-02-01,P0048,W01,190
2024-02-01,P0048,W02,60
2024-02-01,P0048,W03,148
2024-02-01,P0049,W01,489
2024-02-01,P0049,W02,189
2024-02-01,P0049,W03,583
2024-02-01,P0050,W01,555
2024-02-01,P0050,W02,482
2024-02-01,P0050,W03,493
2024-03-01,P0001,W01,214
2024-03-01,P0001,W02,510
2024-03-01,P0001,W03,505
2024-03-01,P0002,W01,101
2024-03-01,P0002,W02,384
2024-03-01,P0002,W03,570
2024-03-01,P0003,W01,81
2024-03-01,P0003,W02,137
2024-03-01,P0003,W03,245
2024-03-01,P0004,W01,78
2024-03-01,P0004,W02,520
2024-03-01,P0004,W03,267
2024-03-01,P0005,W01,583
2024-03-01,P0005,W02,581
2024-03-01,P0005,W03,83
2024-03-01,P0006,W01,351
2024-03-01,P0006,W02,571
