SalesID,Date,ProductID,WarehouseID,QuantitySold,SalesAmount
1,2024-01-08,P0025,W02,5,31525
2,2024-02-23,P0049,W02,22,129118
3,2024-05-17,P0041,W03,10,49040
4,2025-03-23,P0033,W02,25,121575
5,2024-03-29,P0022,W02,13,63232
6,2025-12-13,P0024,W03,6,17592
7,2024-04-10,P0037,W01,21,92127
8,2024-09-30,P0007,W01,23,177123
9,2026-01-03,P0019,W01,20,41220
10,2026-02-05,P0028,W01,2,3314
11,2026-05-16,P0016,W03,9,44181
12,2025-09-24,P0006,W03,20,86720
13,2026-09-28,P0045,W03,22,23320
14,2025-12-27,P0007,W01,10,77010
15,2024-05-13,P0003,W01,17,127500
16,2025-03-08,P0002,W02,13,93509
17,2024-05-29,P0017,W01,22,111716
18,2025-11-17,P0015,W03,8,46504
19,2024-05-04,P0037,W02,5,21935
20,2025-09-27,P0004,W01,3,2775
21,2025-03-21,P0021,W01,15,79200
22,2025-10-17,P0010,W01,23,180918
23,2026-05-25,P0007,W01,16,123216
24,2024-04-04,P0007,W03,17,130917
25,2025-07-29,P0047,W01,15,117435
26,2026-05-09,P0018,W01,23,111504
27,2024-06-25,P0041,W02,23,112792
28,2025-11-23,P0020,W01,11,23694
29,2026-03-01,P0001,W01,22,130900
30,2025-03-08,P0031,W01,15,96945
31,2026-03-24,P0007,W03,25,192525
32,2026-07-16,P0003,W01,4,30000
33,2024-09-01,P0008,W01,2,5610
34,2025-01-26,P0018,W01,8,38784
35,2025-11-07,P0014,W01,24,130224
36,2025-06-05,P0022,W02,22,107008
37,2026-03-28,P0017,W03,13,66014
38,2024-02-26,P0048,W02,14,52094
39,2024-02-20,P0011,W03,1,4798
40,2025-05-05,P0008,W03,7,19635
41,2024-04-04,P0047,W02,10,78290
42,2024-11-24,P0010,W03,8,62928
43,2025-01-04,P0044,W02,24,171432
44,2025-01-18,P0041,W02,3,14712
45,2026-04-03,P0007,W01,4,30804
46,2024-09-21,P0030,W01,6,42456
47,2024-03-19,P0010,W03,17,133722
48,2024-10-31,P0001,W01,2,11900
49,2024-08-20,P0011,W01,14,67172
50,2026-08-11,P0022,W03,11,53504
51,2025-04-13,P0020,W01,2,4308
52,2024-11-04,P0007,W01,8,61608
53,2026-08-16,P0048,W01,12,44652
54,2026-11-06,P0031,W02,10,64630
55,2025-07-12,P0005,W01,5,12290
56,2024-01-03,P0021,W01,6,31680
57,2026-03-11,P0025,W01,12,75660
58,2024-10-18,P0040,W01,13,30888
59,2024-11-23,P0032,W02,15,65565
60,2025-11-26,P0013,W01,17,77911
61,2025-09-01,P0014,W03,24,130224
62,2024-02-04,P0033,W03,20,97260
63,2024-12-26,P0046,W03,21,46494
64,2026-09-18,P0010,W02,16,125856
65,2026-04-15,P0047,W03,13,101777
66,2025-09-06,P0015,W02,5,29065
67,2024-10-22,P0014,W01,3,16278
68,2024-01-09,P0033,W01,14,68082
69,2026-04-13,P0028,W03,19,31483
70,2025-01-24,P0039,W01,25,194475
71,2025-12-05,P0017,W01,25,126950
72,2024-10-28,P0026,W02,1,4290
73,2025-09-26,P0041,W03,17,83368
74,2025-03-03,P0041,W03,13,63752
75,2026-01-02,P0046,W01,24,53136
76,2025-01-01,P0010,W03,2,15732
77,2024-07-29,P0014,W03,22,119372
78,2025-10-29,P0021,W01,9,47520
79,2024-12-14,P0009,W03,23,56879
80,2025-02-01,P0020,W01,4,8616
81,2024-04-14,P0001,W02,17,101150
82,2024-01-12,P0044,W01,5,35715
83,2026-04-23,P0018,W01,16,77568
84,2026-10-28,P0001,W03,6,35700
85,2026-06-20,P0033,W02,20,97260
86,2024-11-10,P0044,W01,22,157146
87,2025-04-17,P0042,W02,11,78100
88,2025-06-04,P0038,W02,15,45105
89,2024-05-04,P0033,W03,15,72945
90,2024-07-03,P0025,W01,14,88270
91,2026-03-06,P0031,W03,5,32315
92,2025-03-14,P0014,W01,20,108520
93,2025-04-22,P0047,W03,6,46974
94,2024-09-27,P0020,W01,25,53850
95,2024-11-12,P0003,W03,14,105000
96,2024-10-08,P0005,W02,5,12290
97,2025-03-01,P0015,W03,10,58130
98,2025-09-14,P0012,W03,15,56070
99,2026-01-12,P0008,W03,1,2805
100,2024-10-06,P0011,W01,3,14394
101,2026-07-04,P0031,W01,3,19389
102,2025-10-15,P0012,W02,18,67284
103,2025-05-25,P0032,W02,21,91791
104,2026-08-05,P0008,W01,12,33660
105,2026-02-04,P0017,W03,24,121872
106,2026-10-30,P0033,W02,8,38904
107,2024-07-13,P0036,W02,25,124250
108,2026-12-01,P0046,W02,17,37638
109,2024-11-19,P0014,W02,1,5426
110,2026-12-13,P0049,W03,3,17607
111,2026-05-02,P0048,W03,15,55815
112,2024-08-06,P0046,W02,5,11070
113,2026-08-25,P0002,W01,25,179825
114,2026-03-27,P0043,W01,8,63456
115,2024-04-02,P0005,W03,24,58992
116,2025-01-13,P0012,W01,11,41118
117,2025-08-14,P0036,W01,4,19880
118,2026-08-02,P0033,W03,3,14589
119,2025-07-02,P0050,W01,2,1226
120,2024-04-25,P0010,W01,2,15732
121,2026-12-29,P0024,W02,11,32252
122,2026-10-18,P0033,W01,14,68082
123,2026-07-17,P0039,W03,17,132243
124,2025-10-23,P0044,W01,7,50001
125,2026-05-28,P0040,W01,9,21384
126,2024-02-18,P0045,W03,20,21200
127,2024-09-07,P0005,W01,23,56534
128,2026-06-27,P0018,W03,13,63024
129,2025-12-04,P0046,W01,15,33210
130,2026-10-08,P0044,W03,12,85716
131,2025-09-16,P0015,W02,24,139512
132,2024-04-22,P0032,W02,11,48081
133,2026-05-26,P0038,W02,22,66154
134,2026-09-10,P0039,W03,6,46674
135,2026-05-06,P0038,W01,16,48112
136,2026-03-17,P0041,W03,4,19616
137,2026-11-08,P0029,W03,9,62703
138,2025-04-14,P0047,W02,11,86119
139,2026-08-03,P0023,W02,25,53525
140,2026-03-07,P0018,W01,15,72720
141,2025-03-10,P0050,W03,14,8582
142,2024-01-29,P0031,W01,20,129260
143,2024-08-14,P0024,W03,17,49844
